M200,m200_msun,z,c200,weight,mstar_msun,log10_mstar_msun
4235700866.4183545,4235700866.4183545,0.05,8.836763564375783,0.00125,45731924.53003801,7.660219478117809
2427360877.4990835,2427360877.4990835,0.05,19.73065168315847,0.00125,12273646.03594188,7.088973594354963
12884601016.757517,12884601016.757517,0.05,8.508870340361607,0.00125,29519704.221867416,7.470112001678972
55911160857.15969,55911160857.15969,0.05,11.793603886280748,0.00125,51073638.36644768,7.708196797079897
11311882368.25268,11311882368.25268,0.05,12.019216684546016,0.00125,20354178.662313286,7.308653582292824
25709937121.291122,25709937121.291122,0.05,4.633599130534061,0.00125,29718049.79860944,7.473020306115045
12992627769.70884,12992627769.70884,0.05,6.977748729289245,0.00125,15462105.317278264,7.189268627061377
7357115676.603095,7357115676.603095,0.05,8.737608262578753,0.00125,22985121.70290366,7.361446807619048
3064198314.458655,3064198314.458655,0.05,11.830029333790307,0.00125,23730076.139261514,7.375299131677435
18316585464.559513,18316585464.559513,0.05,7.662061395706396,0.00125,66344465.5328642,7.82180469978842
12899320330.06311,12899320330.06311,0.05,5.677893565511286,0.00125,33412096.896988854,7.523903732214443
1841903242.720334,1841903242.720334,0.05,12.612416432754125,0.00125,17789258.907256737,7.250157855942666
10742896250.189722,10742896250.189722,0.05,20.776030896220067,0.00125,43212444.93420643,7.635608839127599
41279988559.872894,41279988559.872894,0.05,8.82906875693379,0.00125,75300596.75007415,7.876798417956841
4732310989.064595,4732310989.064595,0.05,23.999475112515913,0.00125,15965637.685316324,7.203186269426249
27889537412.83317,27889537412.83317,0.05,15.50278413459575,0.00125,60251160.20071213,7.779965414133477
21878382708.300045,21878382708.300045,0.05,3.6983461533196853,0.00125,32858688.21636177,7.516650221552872
3784400078.2075143,3784400078.2075143,0.05,8.542946486031425,0.00125,19717433.47502926,7.294850384227291
10852653454.312817,10852653454.312817,0.05,9.500972464143183,0.00125,47687612.77652975,7.678405582364049
6844935698.772839,6844935698.772839,0.05,12.277253001584251,0.00125,29717588.77584109,7.473013568755134
12123208751.718159,12123208751.718159,0.05,25.947223193469014,0.00125,29328830.358080123,7.467294743541055
22360624950.197502,22360624950.197502,0.05,5.68026950387113,0.00125,34046153.904193,7.532068058024753
75011205677.23117,75011205677.23117,0.05,7.0724944381440595,0.00125,91570744.53695104,7.96175674533208
97014306143.12962,97014306143.12962,0.05,3.471397750134303,0.00125,87398694.47908026,7.941504945394517
7673108857.136701,7673108857.136701,0.05,9.84933954688541,0.00125,46888182.748843685,7.6710634010595316
30295694415.374184,30295694415.374184,0.05,3.2912023715550407,0.00125,17935814.170063805,7.253721095622556
13046004481.93025,13046004481.93025,0.05,4.204688936787337,0.00125,65026819.97673313,7.8130925161126825
11042482084.485552,11042482084.485552,0.05,9.072728682006156,0.00125,33358935.994498175,7.523212190074591
81609736799.73216,81609736799.73216,0.05,16.071188514782378,0.00125,78622533.44374289,7.8955470339245535
9068985748.070288,9068985748.070288,0.05,9.759244759898085,0.00125,28073551.884569764,7.44829736333917
12431203502.2811,12431203502.2811,0.05,7.153237896669083,0.00125,26502787.051422432,7.423291547046544
26138192142.8921,26138192142.8921,0.05,8.429290197801718,0.00125,47625707.01633598,7.677841435949065
26519991382.115665,26519991382.115665,0.05,5.990890272108206,0.00125,75505988.48454383,7.877981397492161
18118643679.012936,18118643679.012936,0.05,7.586211029677595,0.00125,26762526.894787252,7.427527116743478
5569511742.924052,5569511742.924052,0.05,6.812468663763355,0.00125,52231580.62646708,7.717933168608691
2315851704.370291,2315851704.370291,0.05,8.031623742040402,0.00125,15663435.033968776,7.194887010129724
5160093552.999483,5160093552.999483,0.05,15.761797850502683,0.00125,29941870.93770872,7.4762789340343
15404631828.775103,15404631828.775103,0.05,5.2959670652737145,0.00125,34735154.82761086,7.540769239028056
7743928168.064185,7743928168.064185,0.05,6.480045393688547,0.00125,41158655.977856815,7.614461184580907
14556372719.730701,14556372719.730701,0.05,9.588389699115638,0.00125,39102919.27089863,7.592209181332335
850241018.5182823,850241018.5182823,0.05,6.933258955474414,0.00125,14812631.65968314,7.170632223527665
5397375619.488473,5397375619.488473,0.05,13.206575992602787,0.00125,87207063.39031284,7.94055166230874
10490043513.658817,10490043513.658817,0.05,11.405159198270907,0.00125,48875722.886606984,7.689093193797126
5556182451.476917,5556182451.476917,0.05,7.843277520996242,0.00125,11292940.508869179,7.052807040286325
